684,MUS,Mauritius,"11,090.43","8,950.70"
273,MEX,Mexico,"9,862.44","8,069.10"
868,FSM,Micronesia,"4,044.88","3,854.74"
921,MDA,Moldova,"4,458.19","4,267.73"
948,MNG,Mongolia,"4,201.82","3,989.93"
943,MNE,Montenegro,"8,825.69","7,933.43"
686,MAR,Morocco,"3,331.76","3,121.38"
688,MOZ,Mozambique,487.687,455.014
518,MMR,Myanmar,"1,299.22","1,332.55"
728,NAM,Namibia,"5,072.37","4,051.93"
836,NRU,Nauru,"9,365.10","8,866.87"
558,NPL,Nepal,"1,078.56","1,115.56"
138,NLD,Netherlands,"52,646.19","51,289.57"
196,NZL,New Zealand,"41,666.64","38,675.32"
278,NIC,Nicaragua,"1,920.29","1,832.50"
692,NER,Niger,553.916,535.831
694,NGA,Nigeria,"2,229.85","2,148.91"
962,MKD,North Macedonia,"6,109.03","6,018.78"
142,NOR,Norway,"75,294.43","67,988.59"
449,OMN,Oman,"18,198.31","14,423.37"
564,PAK,Pakistan,"1,348.68",n/a
565,PLW,Palau,"16,064.02","14,232.72"
283,PAN,Panama,"15,834.04","14,090.50"
853,PNG,Papua New Guinea,"2,884.33","2,651.52"
288,PRY,Paraguay,"5,233.39","4,909.39"
293,PER,Peru,"6,957.86","5,844.69"
566,PHL,Philippines,"3,511.94","3,372.53"
964,POL,Poland,"15,600.66","15,303.54"
182,PRT,Portugal,"23,132.46","21,608.35"
359,PRI,Puerto Rico,"32,595.17","30,113.31"
453,QAT,Qatar,"62,918.85","52,751.11"
968,ROU,Romania,"12,887.06","12,813.11"
922,RUS,Russia,"11,601.42","9,972.50"
714,RWA,Rwanda,816.358,823.402
862,WSM,Samoa,"4,230.59","4,083.81"
135,SMR,San Marino,"47,621.71","41,682.81"
716,STP,S„o TomÈ and PrÌncipe,"1,980.35","1,911.89"
456,SAU,Saudi Arabia,"23,266.49","19,586.50"
722,SEN,Senegal,"1,445.89","1,455.47"
942,SRB,Serbia,"7,382.39","7,497.14"
718,SYC,Seychelles,"17,126.51","12,322.59"
724,SLE,Sierra Leone,539.122,518.466
576,SGP,Singapore,"65,233.88","58,483.96"
936,SVK,Slovak Republic,"19,344.17","18,669.30"
961,SVN,Slovenia,"25,992.07","25,038.79"
813,SLB,Solomon Islands,"2,493.52","2,367.23"
199,ZAF,South Africa,"5,977.95","4,735.75"
733,SSD,South Sudan,368.839,303.146
184,ESP,Spain,"29,993.06","26,831.63"
524,LKA,Sri Lanka,"3,852.48","3,697.89"
361,KNA,St. Kitts and Nevis,"18,853.68","15,246.40"
362,LCA,St. Lucia,"11,803.10","9,780.50"
364,VCT,St. Vincent and the Grenadines,"7,463.97","7,033.08"
732,SDN,Sudan,771.814,734.597
366,SUR,Suriname,"6,191.28","4,199.16"
144,SWE,Sweden,"51,404.43","50,339.20"
146,CHE,Switzerland,"82,483.93","81,867.46"
528,TWN,Taiwan Province of China,"25,873.37","26,910.23"
923,TJK,Tajikistan,873.499,833.545
738,TZA,Tanzania,"1,079.68","1,105.55"
578,THA,Thailand,"7,806.96","7,295.13"
537,TLS,Timor-Leste,"1,252.42","1,456.05"
742,TGO,Togo,675.304,690.275
866,TON,Tonga,"5,150.55","5,023.17"
369,TTO,Trinidad and Tobago,"17,276.43","16,197.20"
744,TUN,Tunisia,"3,292.59","3,295.45"
186,TUR,Turkey,"9,150.86","7,715.37"
925,TKM,Turkmenistan,"7,723.68","8,073.58"
869,TUV,Tuvalu,"4,308.85","4,090.76"
746,UGA,Uganda,916.156,915.354
926,UKR,Ukraine,"3,706.77","3,424.77"
466,ARE,United Arab Emirates,"39,179.88","31,947.92"
112,GBR,United Kingdom,"42,378.61","39,228.52"
111,USA,United States,"65,253.52","63,051.40"
298,URY,Uruguay,"16,110.74","15,331.72"
927,UZB,Uzbekistan,"1,741.70","1,762.86"
846,VUT,Vanuatu,"3,186.20","2,878.69"
299,VEN,Venezuela,"2,299.31","1,739.11"
582,VNM,Vietnam,"3,416.23","3,497.51"
487,WBG,West Bank and Gaza,"3,426.21","2,894.07"
474,YEM,Yemen,713.072,645.126
754,ZMB,Zambia,"1,318.47","1,001.44"
698,ZWE,Zimbabwe,"1,254.49",921.847
,,,,
"International Monetary Fund, World Economic Outlook Database, October 2020",,,,
